flux_original	flux_modified	delta_flux	abs_delta_flux
0.0	39.14085027949065	39.14085027949065	39.14085027949065
0.0	39.14085027949065	39.14085027949065	39.14085027949065
23.760608472209604	0.0	-23.760608472209604	23.760608472209604
-35.15238879765519	-49.76201744031466	-14.609628642659466	14.609628642659466
28.837363608056645	40.4511681303463	11.613804522289659	11.613804522289659
-28.837363608056645	-40.4511681303463	-11.613804522289659	11.613804522289659
14.51365694074598	24.941756815529875	10.428099874783895	10.428099874783895
-13.080337091227992	-22.95717158208684	-9.876834490858847	9.876834490858847
13.080337091227992	22.95717158208684	9.876834490858847	9.876834490858847
-13.080337091227992	-22.95717158208684	-9.876834490858847	9.876834490858847
12.156170428444868	19.99780691880308	7.84163649035821	7.84163649035821
12.158424283614247	20.000000000000004	7.841575716385757	7.841575716385757
-12.158424283614245	-20.0	-7.841575716385755	7.841575716385755
33.006104406733776	26.773383503601828	-6.232720903131948	6.232720903131948
0.5946286923250175	-4.910652039473955	-5.5052807317989725	5.5052807317989725
-4.885603701943085	0.0	4.885603701943085	4.885603701943085
8.698303539056315	13.548596293454379	4.850292754398064	4.850292754398064
5.452675372096661	9.29433527565961	3.841659903562948	3.841659903562948
5.452675372096661	9.29433527565961	3.841659903562948	3.841659903562948
-1.3497963685445757	-5.146947016938756	-3.7971506483941804	3.7971506483941804
0.0	3.698516026070209	3.698516026070209	3.698516026070209
0.0	3.696010793280058	3.696010793280058	3.696010793280058
5.320595193005485	8.890990905540507	3.5703957125350216	3.5703957125350216
-5.320595193005486	-8.890990905540507	-3.5703957125350207	3.5703957125350207
6.3	9.843986597356867	3.5439865973568674	3.5439865973568674
-6.3	-9.843986597356867	-3.5439865973568674	3.5439865973568674
1.4768347993049304	4.9821448715631895	3.505310072258259	3.505310072258259
1.4768347993049304	4.982144871563189	3.505310072258258	3.505310072258258
2.248398771992722	5.732904043543	3.484505271550278	3.484505271550278
-5.890400214146125	-8.992979945072996	-3.1025797309268706	3.1025797309268706
5.890400214146125	8.992979945072994	3.102579730926869	3.102579730926869
4.17655936362997	7.199675746420613	3.0231163827906435	3.0231163827906435
-4.17655936362997	-7.199675746420613	-3.0231163827906435	3.0231163827906435
6.299999999999999	9.29433527565961	2.99433527565961	2.99433527565961
6.300000000000001	9.29433527565961	2.9943352756596084	2.9943352756596084
6.300000000000001	9.29433527565961	2.9943352756596084	2.9943352756596084
0.0	-2.09146043147609	-2.09146043147609	2.09146043147609
0.0	-2.09146043147609	-2.09146043147609	2.09146043147609
0.0	2.09146043147609	2.09146043147609	2.09146043147609
-0.2388033749476889	-2.3238246039725903	-2.0850212290249015	2.0850212290249015
0.6251178646917175	2.6997223346995654	2.0746044700078476	2.0746044700078476
0.6251178646917175	2.6997223346995645	2.0746044700078468	2.0746044700078468
-0.6251178646917175	-2.6997223346995645	-2.0746044700078468	2.0746044700078468
2.913117234987297	4.969114597285054	2.0559973622977568	2.0559973622977568
3.589825478460143	5.636895855437896	2.0470703769777527	2.0470703769777527
3.6884942151063718	5.732904043543001	2.044409828436629	2.044409828436629
3.6884942151063718	5.732904043543001	2.044409828436629	2.044409828436629
3.6884942151063718	5.732904043543001	2.044409828436629	2.044409828436629
6.533780503255595	8.449061115491698	1.9152806122361037	1.9152806122361037
6.533780503255595	8.449061115491698	1.9152806122361037	1.9152806122361037
-6.533780503255594	-8.449061115491697	-1.9152806122361028	1.9152806122361028
1.7217714832090045	0.0	-1.7217714832090045	1.7217714832090045
3.640608042346479	5.286785721043562	1.6461776786970828	1.6461776786970828
1.4406429855147078	0.0	-1.4406429855147078	1.4406429855147078
1.440095443113649	0.0	-1.440095443113649	1.440095443113649
0.0	1.4017968350126586	1.4017968350126586	1.4017968350126586
7.221468739751385	8.566451421891193	1.3449826821398077	1.3449826821398077
7.221468739751385	8.566451421891191	1.3449826821398059	1.3449826821398059
0.0	1.3095817563085175	1.3095817563085175	1.3095817563085175
0.0	1.3095817563085175	1.3095817563085175	1.3095817563085175
0.0	1.3095817563085175	1.3095817563085175	1.3095817563085175
0.8473246279033391	0.0	-0.8473246279033391	0.8473246279033391
0.0	-0.7976344152887558	-0.7976344152887558	0.7976344152887558
0.0	-0.7976344152887558	-0.7976344152887558	0.7976344152887558
0.0	0.7976344152887558	0.7976344152887558	0.7976344152887558
0.0	0.7541445833569589	0.7541445833569589	0.7541445833569589
0.8273156975489682	0.07355345618801076	-0.7537622413609574	0.7537622413609574
0.32152217689776197	1.0669970905314057	0.7454749136336437	0.7454749136336437
5.0304684639748505	5.636895855437896	0.6064273914630451	0.6064273914630451
0.5850085423039233	0.0	-0.5850085423039233	0.5850085423039233
0.0	0.5752513735690744	0.5752513735690744	0.5752513735690744
0.0	-0.569234106785941	-0.569234106785941	0.569234106785941
0.000352956144180191	0.5695775456606554	0.5692245895164753	0.5692245895164753
0.000352956144180191	0.5695775456606554	0.5692245895164753	0.5692245895164753
0.08060413426880671	-0.4712206338425705	-0.5518247681113773	0.5518247681113773
-0.021351698294186146	0.5288753602745591	0.5502270585687452	0.5502270585687452
0.0	0.549651321697258	0.549651321697258	0.549651321697258
0.0	0.549651321697258	0.549651321697258	0.549651321697258
1.144035829375516	1.6913151591198938	0.5472793297443779	0.5472793297443779
1.144035829375516	1.6913151591198938	0.5472793297443779	0.5472793297443779
1.144035829375516	1.6913151591198938	0.5472793297443779	0.5472793297443779
-2.2394556359800073	-1.8271037727534472	0.41235186322656014	0.41235186322656014
0.3617197413907845	0.0	-0.3617197413907845	0.3617197413907845
