min_original	max_original	range_original	min_modified	max_modified	range_modified	delta_range	abs_delta_range
3.589825478460797	3.5898254787630477	3.022506689376314e-10	0.0	611.4352442535056	611.4352442535056	611.4352442532033	611.4352442532033
8.698303539060804	8.698303539052608	-8.196110456992756e-12	0.0	438.8990055559476	438.8990055559476	438.8990055559558	438.8990055559558
0.0	6.638527043319175e-11	6.638527043319175e-11	0.0	436.2117306535411	436.2117306535411	436.2117306534747	436.2117306534747
0.0	9.90883920090889e-11	9.90883920090889e-11	0.0	429.7865535179822	429.7865535179822	429.78655351788314	429.78655351788314
3.688494215104606	3.6884942151717985	6.719247380715387e-11	0.0	422.6720263281791	422.6720263281791	422.6720263281119	422.6720263281119
0.0	-8.473598939694624e-12	-8.473598939694624e-12	0.0	419.18997304087975	419.18997304087975	419.1899730408882	419.1899730408882
0.0	1.4400954431196913	1.4400954431196913	0.0	20.145229496207392	20.145229496207392	18.7051340530877	18.7051340530877
2.248398771983099	3.688494215116103	1.440095443133004	-11.03470002228115	5.732904043542995	16.767604065824145	15.327508622691141	15.327508622691141
0.08060413426766158	0.08060413426857915	9.175715742770763e-13	-1.2766944208801134	13.615189498209785	14.8918839190899	14.891883919088981	14.891883919088981
3.6884942151070375	3.688494215114478	7.440714711037799e-12	-0.4878713748132149	13.064606914338343	13.552478289151558	13.552478289144117	13.552478289144117
-0.09862331272501497	-0.09862331272535117	-3.3620328743211303e-13	-3.7623420796729334	9.331930236580375	13.094272316253308	13.094272316253644	13.094272316253644
5.452675372096751	5.452675372096155	-5.95967719618784e-13	0.0	9.294335275659607	9.294335275659607	9.294335275660202	9.294335275660202
0.0	-2.4860089384950043e-14	-2.4860089384950043e-14	0.0	7.29466022361453	7.29466022361453	7.294660223614555	7.294660223614555
0.0	3.296246422425366e-12	3.296246422425366e-12	0.0	7.235069474088016	7.235069474088016	7.23506947408472	7.23506947408472
0.0667408507004731	0.06674085070501347	4.54036808150704e-12	0.0	4.782142117822361	4.782142117822361	4.782142117817821	4.782142117817821
0.0	0.13224840980403266	0.13224840980403266	0.0	4.713797714331731	4.713797714331731	4.581549304527698	4.581549304527698
0.0	3.4995858138536e-13	3.4995858138536e-13	0.0	3.0251648705745815	3.0251648705745815	3.0251648705742316	3.0251648705742316
0.0	5.938585347061152e-13	5.938585347061152e-13	0.0	2.718123744261992	2.718123744261992	2.718123744261398	2.718123744261398
0.0	2.8058949859860976e-13	2.8058949859860976e-13	0.0	0.8909523435158007	0.8909523435158007	0.8909523435155201	0.8909523435155201
0.004380339208466901	0.004380339208459577	-7.32400251557408e-15	0.004262225756450672	0.6562703016169201	0.6520080758604695	0.6520080758604768	0.6520080758604768
0.0	-1.2214595242297742e-14	-1.2214595242297742e-14	0.0	0.6047429037378304	0.6047429037378304	0.6047429037378426	0.6047429037378426
-0.00013688560027642487	-0.00013688560012536398	1.5106088580539578e-13	-0.00013244962222161744	0.43100460813236324	0.4311370577545849	0.43113705775443384	0.43113705775443384
0.0	7.347323922068066e-15	7.347323922068066e-15	0.0	0.06433547164103554	0.06433547164103554	0.0643354716410282	0.0643354716410282
0.0	-9.714833554741732e-15	-9.714833554741732e-15	0.0	0.00013307036467508182	0.00013307036467508182	0.00013307036468479665	0.00013307036468479665
0.0	-9.714833554741732e-15	-9.714833554741732e-15	0.0	0.0001330703646750818	0.0001330703646750818	0.00013307036468479663	0.00013307036468479663
0.0013970924941686203	0.0013970924942971535	1.2853325175032904e-13	0.0013594206588656947	0.0014924910235509332	0.0001330703646852385	0.00013307036455670524	0.00013307036455670524
0.006662584328573393	0.0066625843285734575	6.418476861114186e-17	0.0064829313846013975	0.006482931384601393	-4.336808689942018e-18	-6.852157730108388e-17	6.852157730108388e-17
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
